source sentence, target sentence
vous tes parfois si pu rils. , you are so childish sometimes.
elle est trop g e pour toi. , she s too old for you.
elle n est plus ce qu elle tait. , she is not what she used to be.
je vais le regretter. , i m going to regret this.
il est moins impatient que son p re. , he is less impatient than his father.
il est le meilleur joueur de notre quipe. , he is the best player on our team.
il est sc nariste. , he s a scriptwriter.
je suis plut t heureuse. , i m fairly happy.
tu es tr s sage. , you re very wise.
je suis ici tous les soirs. , i m here every night.
je suis pr t assister la r union. , i m willing to attend the meeting.
il n est plus dans les affaires. , he is no longer in business.
je ne gobe pas a. , i m not buying it.
elle est tr s attirante. , she s hot.
vous tes la meilleure. , you re the greatest.
mes parents m adorent. , i m loved by my parents.
je ne vais pas partir avec toi. , i m not leaving with you.
je suis s re de son succ s. , i m sure of his success.
je suis pr t quand vous l tes. , i m ready when you are.
je suis tr s attir e par vous. , i m very drawn to you.
je suis convaincu de son innocence. , i am convinced of his innocence.
il r cup re lentement de sa maladie. , he is slowly recovering from his illness.
il est en train de vous regarder. , he s looking at you.
je manque un peu de pratique. , i m a little out of practice.
c est un beau mec. , he s a hunk.
il est en train d tudier. , he s studying.
je suis fort contrari. , i m very upset.
je suis tr s tonn de voir a. , i m very surprised to see that.
je vais envoyer de l argent tom. , i m going to send tom some money.
c est une personne particuli rement int ressante. , she is a particularily interesting person.
vous tes fort bons. , you re very good.
je suis un peu bourr e. , i m a little drunk.
il est probable qu il gagne le jeu. , he is likely to win the game.
je suis divorc e. , i am divorced.
je suis d sol d avoir bless tom. , i m sorry i hurt tom.
il est assis dans la salle d attente. , he s sitting in the waiting room.
vous en faites partie. , you re part of this.
il est absent en cong s. , he s away on vacation.
je suis fatigu de l entendre. , i am tired of hearing it.
tu es matinale. , you are early.
vous tes incroyablement talentueux. , you re incredibly talented.
tu ne restes pas ici si? , you re not staying here are you?
les mots me font d faut. , i m at a loss for words.
je suis d sol e. , i am sorry.
je suis tr s gros. , i m very fat.
t as pas tort. , you aren t wrong.
elle m a servi un caf. , she served me coffee.
je v rifie les possibilit s. , i m checking options.
je crains de ne pouvoir t aider. , i m afraid i can t help you.
je nourris le poisson rouge. , i m feeding the goldfish.
t es bon. , you re good.
je suis mauvais en dessin. , i am poor at drawing.
je suis au ch mage. , i am out of work.
je suis juste impatient de rentrer la maison. , i m just looking forward to going home.
tu es dans l erreur. , you re wrong.
il ne vous rendra pas visite demain. , he s not going to visit you tomorrow.
je suis habitu e ce temps froid. , i m used to this cold weather.
vous avez tout fait raison. , you re absolutely right.
il est un peu plus grand que vous. , he s a little taller than you are.
j ai soif. , i m thirsty.
sa nouvelle robe lui pla t. , she s pleased with her new dress.
je suis so l. , i m drunk.
je ne suis pas d sorganis e. , i m not disorganized.
je suis un peu fatigu. , i m a bit tired.
c est toi qui as plant cet arbre. , you re the one who planted that tree.
vous tes ma meilleure cliente. , you re my best customer.
je vais mieux. , i m feeling better.
je ne suis pas comme toi. , i am not like you.
j ai trop sommeil pour manger. , i m too sleepy to eat.
c est toi le prof. , you re the teacher.
j y suis habitu. , i m used to it.
il est en prison. , he s in prison.
vous tes cr atif. , you re creative.
c est vous le chef. , you re the leader.
tu n coutes pas! , you re not listening!
c est une tr s belle fille. , she s a really nice girl.
vous tes vieilles. , you re old.
il attend que le train parte. , he s waiting for the train to leave.
vous avez nouveau tort. , you re wrong again.
tu es le plus grand. , you are tallest.
elle est active. , she is active.
il a peur de devenir malade. , he is afraid of becoming sick.
il a l esprit vif. , he is sharp witted.
tu le fais correctement. , you re doing it right.
vous tes deux fois plus fort que moi. , you are twice as strong as i am.
je suis vraiment d ue. , i m really disappointed.
je suis curieux. , i m curious.
elle est plut t bonne. , she s rather good.
je me sens un peu fatigu. , i m feeling kind of tired.
je suis pr t. , i m ready.
j en ai assez de faire semblant. , i m tired of pretending.
je ne suis pas un enseignant. , i am not a teacher.
il va se pr senter aux lections municipales. , he is going to run for mayor.
je suis grande. , i m tall.
elle est maigre comme un manche balai. , she is as thin as a broom stick.
vous tes trop maigrichons. , you re too skinny.
tu es g niale. , you re awesome.
je ne suis pas mentalement pr par cela. , i m not mentally prepared for that.
tu seras toujours la bienvenue. , you are always welcome.
je suis heureux de vous avoir invit. , i m glad i invited you.
il est encore fringant. , he is still very much alive.
tu es tr s vif. , you re very sharp.
je suis perplexe. , i m puzzled.
il est paresseux. , he s lazy.
il est trop vieux pour vous. , he s too old for you.
je suis profond ment offens e par ceci. , i m deeply offended by this.
tu le fais de travers! , you re doing it wrong!
elle lui est vaguement apparent e. , she is distantly related to him.
il est petit et gros. , he s short and fat.
c est une beaut. , she is a beauty.
je suis la maison. , i m at home.
je rencontre quelqu un pour d jeuner. , i m meeting someone for dinner.
je dis la v rit. , i m truthful.
je me fais trop vieux pour ce travail. , i m getting too old for this job.
je te donne ce que tu veux. , i m giving you what you want.
il n est pas religieux. , he is not religious.
je suis contre. , i m against it.
je m en vais le mois prochain. , i am moving next month.
je suis plus petite que vous. , i m shorter than you.
vous tes importante. , you are important.
je n y suis pas int ress e. , i m not interested in that.
il ne me pr te aucune attention. , he s not paying any attention to me.
je suis fier de a. , i m proud of that.
elle est juste d corative. , she is just a wallflower.
il craint de commettre des erreurs. , he s afraid of making mistakes.
je suis libre. , i m free.
tu n es pas le premier. , you re not the first.
vous conduisez trop vite. , you re driving too fast.
je suis fort contrari e. , i m very upset.
je m ennuie. faisons quelque chose! , i m bored. let s do something.
il n est plus ce qu il tait. , he is not what he used to be.
vous tes maigrichonnes. , you re skinny.
vous tes aveugl s par l amour. , you are blinded by love.
vous tes probablement fatigu. , you re probably tired.
vous tes trop tendu. , you re too tense.
il ne vient pas non plus. , he isn t coming either.
vous tes trop vieilles pour moi. , you re too old for me.
vous n tes pas si vieux tom. , you re not that old tom.
tu es tr s courageux. , you re very brave.
je suis d tective. , i m a detective.
je suis m contente. , i m unhappy.
tu n es pas occup maintenant si? , you aren t busy now are you?
vous tes tr s observatrice. , you re very observant.
je suis un homme. , i am a man.
c est vous l ing nieur. , you re the engineer.
tu es bien plus grand que tom. , you re much taller than tom is.
vous tes marrantes. , you re funny.
vous tes meilleur que moi. , you re better than me.
elle se tenait pr s de lui. , she stood close to him.
je suis assez heureux. , i m quite happy.
vous tes tr s braves. , you re very brave.
tu es tr s grossi re. , you re very rude.
je vais rejoindre l orchestre de l cole. , i m going to join the school orchestra.
elle tudie les math matiques. , she studies mathematics.
elle a environ mon ge. , she is about my age.
il est probable qu il vienne. , he s likely to come.
tu passes en premier. , you re first.
vous tes des enfants. , you are children.
je suis en retard. , i m late.
c est un malade du contr le. , he s a control freak.
je ne suis pas un enfant unique. , i m not an only child.
tu es impressionn e pas vrai? , you re impressed aren t you?
je suis votre voisin. , i m your neighbor.
je ne suis pas enti rement s r. , i m not entirely sure.
je suis amoureux de quelqu un d autre. , i m in love with somebody else.
c est une taquine. , she s a big teaser.
je suis agriculteur. , i m a farmer.
je vous offre un choix. , i m offering you a choice.
je suis d sol e propos d hier. , i m sorry about yesterday.
vous tes fort craintif. , you re very timid.
je ne suis pas occup du tout. , i m not at all busy.
je suis assez fort. , i m strong enough.
je suis fi re de vous toutes. , i m proud of you all.
tu es la seule pour moi d sormais. , you re the only one for me now.
je suis habitu la douleur maintenant. , i m used to the pain now.
c est un homme cultiv. , he is a learned man.
tu es tr s bonne a. , you re very good at this.
je suis en train de lire un livre. , i am reading a book.
je suis dans le jardin. , i am in the garden.
je suis fou de vous. , i m crazy about you.
il est incapable de le faire. , he is unable to do it.
je suis plus petit que toi. , i am shorter than you.
vous tes tr s contrari s. , you re very upset.
il est assez mignon. , he s kind of cute.
je suis saoul. , i m drunk.
je ne m implique pas. , i am not getting involved.
elle est absente car elle est malade. , she s absent because she s sick.
je suis les lignes directrices. , i m following the guidelines.
je ne suis pas pr t. , i m not ready.
je suis s re que a peut attendre. , i m sure this can wait.
j arrive juste chez moi. , i m coming right home.
vous tes en train de mentir. , you re lying now.
vous tes probablement trop jeune pour le comprendre. , you re probably too young to understand this.
tu n es pas morte. , you re not dead.
j ai mal au c ur. , i m hung over.
vous tes imprudente. , you re foolish.
je suis s r qu il r ussira. , i am sure that he will succeed.
mon poids me pr occupe. , i m worried about my weight.
je suis tr s contrari. , i m very upset.
elle parle trop. , she speaks too much.
il vient de sortir de l universit. , he is fresh from college.
je suis l pour vous prot ger. , i m here to protect you.
je ne suis pas joueuse. , i m not a gambler.
